ANO_ELEICAO;SG_UF;DS_CARGO;SG_PARTIDO;NR_CANDIDATO;NM_CANDIDATO;SQ_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL
2014;MT;DEPUTADO FEDERAL;PSDB;4500;NILSON APARECIDO LEITÃO;110000000017;ELEITO POR QP;127749
2014;MT;DEPUTADO FEDERAL;PT;1313;SÁGUAS MORAES SOUSA;110000000297;ELEITO POR QP;97858
2014;PA;DEPUTADO ESTADUAL;CIDADANIA*;23333;THIAGO ARAUJO;140000000911;ELEITO POR QP;38346
2014;PA;DEPUTADO ESTADUAL;DEM*;25123;MARCIO DESIDÉRIO TEIXEIRA MIRANDA;140000000055;ELEITO POR QP;82738
2014;PA;DEPUTADO ESTADUAL;DEM*;25456;HAROLDO MARTINS E SILVA;140000000057;ELEITO POR MÉDIA;31004
2014;PA;DEPUTADO ESTADUAL;MDB*;15000;ERALDO SORGE SEBASTIÃO PIMENTA;140000000378;ELEITO POR MÉDIA;30089
2014;PA;DEPUTADO ESTADUAL;MDB*;15100;JOÃO CHAMON NETO;140000000444;ELEITO POR QP;35413
2014;PA;DEPUTADO ESTADUAL;MDB*;15177;OZORIO ADOLFO JUVENIL GOES NUNES DE SOUSA;140000000388;ELEITO POR QP;34055
2014;PA;DEPUTADO ESTADUAL;MDB*;15456;MARTINHO ARNALDO CAMPOS CARMONA;140000000454;ELEITO POR QP;45736
2014;PA;DEPUTADO ESTADUAL;MDB*;15500;JOSÉ ANTÔNIO SCAFF FILHO;140000000382;ELEITO POR QP;33646
2014;PA;DEPUTADO ESTADUAL;MDB*;15555;FRANCISCO DAS CHAGAS SILVA MELO FILHO;140000000379;ELEITO POR QP;31296
2014;PA;DEPUTADO ESTADUAL;MDB*;15615;WANDERLAN AUGUSTO BRANDÃO QUARESMA;140000000440;ELEITO POR QP;34738
2014;PA;DEPUTADO ESTADUAL;MDB*;15678;IRAN ATAIDE DE LIMA;140000000383;ELEITO POR QP;30534
2014;PA;DEPUTADO ESTADUAL;PATRIOTA*;51234;RAIMUNDO JOSÉ PEREIRA DOS SANTOS;140000000204;ELEITO POR QP;44452
2014;PA;DEPUTADO ESTADUAL;PC DO B;65100;LÉLIO COSTA DA SILVA;140000000296;ELEITO POR QP;16043
2014;PA;DEPUTADO ESTADUAL;PDT;12345;WALDEMIRO EDUARDO DE ASSIS SANOVA NASCIMENTO;140000000653;ELEITO POR QP;24374
2014;PA;DEPUTADO ESTADUAL;PL*;22222;JOSÉ RENATO OGAWA RODRIGUES;140000000575;ELEITO POR QP;37701
2014;PA;DEPUTADO ESTADUAL;PL*;22345;JOSÉ ALFREDO SILVA HAGE JÚNIOR;140000000574;ELEITO POR QP;45483
2014;PA;DEPUTADO ESTADUAL;PP*;11000;LUIZ AFONSO DE PROENÇA SEFER;140000001007;ELEITO POR MÉDIA;33651
2014;PA;DEPUTADO ESTADUAL;PPL;54444;ANTONIO GOMES DE LIMA;140000000709;ELEITO POR QP;34191
2014;PA;DEPUTADO ESTADUAL;PROS;90000;JOSE RAIMUNDO DE OLIVEIRA;140000000604;ELEITO POR QP;34282
2014;PA;DEPUTADO ESTADUAL;PROS;90901;TERCIO JUNIOR SOUSA NOGUEIRA;140000000613;ELEITO POR MÉDIA;32016
2014;PA;DEPUTADO ESTADUAL;PSB;40111;CASSIO COELHO ANDRADE;140000000520;ELEITO POR QP;38362
2014;PA;DEPUTADO ESTADUAL;PSB;40456;SHYDNEY JORGE ROSA;140000000540;ELEITO POR QP;39614
2014;PA;DEPUTADO ESTADUAL;PSC;20123;OLIVAL HENRIQUE MARQUES DE SOUZA;140000000222;ELEITO POR QP;32936
