ANO_ELEICAO;DS_CARGO;SG_PARTIDO;CD_MUNICIPIO;votos_partido_municipio
2002;DEPUTADO FEDERAL;PT;15938;3876
2002;DEPUTADO FEDERAL;PT;15954;695
2002;DEPUTADO FEDERAL;PT;15970;130
2002;DEPUTADO FEDERAL;PT;15989;29
2002;DEPUTADO FEDERAL;PT;15997;352
2002;DEPUTADO FEDERAL;PT;98531;419
2002;DEPUTADO FEDERAL;PT;98558;176
2002;DEPUTADO FEDERAL;PT;98574;181
2002;DEPUTADO FEDERAL;PT DO B;13013;1
2002;DEPUTADO FEDERAL;PT DO B;13030;1
2002;DEPUTADO FEDERAL;PT DO B;13129;2
2002;DEPUTADO FEDERAL;PT DO B;13170;1
2002;DEPUTADO FEDERAL;PT DO B;13188;15
2002;DEPUTADO FEDERAL;PT DO B;13196;9
2002;DEPUTADO FEDERAL;PT DO B;13218;2
2002;DEPUTADO FEDERAL;PT DO B;13226;15
2002;DEPUTADO FEDERAL;PT DO B;13307;1
2002;DEPUTADO FEDERAL;PT DO B;13323;1
2002;DEPUTADO FEDERAL;PT DO B;13390;1
2002;DEPUTADO FEDERAL;PT DO B;13412;18
2002;DEPUTADO FEDERAL;PT DO B;13439;7
2002;DEPUTADO FEDERAL;PT DO B;13471;8
2002;DEPUTADO FEDERAL;PT DO B;13498;2
2002;DEPUTADO FEDERAL;PT DO B;13676;1
2002;DEPUTADO FEDERAL;PT DO B;13692;16
2002;DEPUTADO FEDERAL;PT DO B;13730;26
2002;DEPUTADO FEDERAL;PT DO B;13838;1
2002;DEPUTADO FEDERAL;PT DO B;13897;1206
2002;DEPUTADO FEDERAL;PT DO B;13935;1
2002;DEPUTADO FEDERAL;PT DO B;14095;1
2002;DEPUTADO FEDERAL;PT DO B;14117;1
2002;DEPUTADO FEDERAL;PT DO B;14133;1
2002;DEPUTADO FEDERAL;PT DO B;14150;1
2002;DEPUTADO FEDERAL;PT DO B;14192;3
2002;DEPUTADO FEDERAL;PT DO B;14273;1
2002;DEPUTADO FEDERAL;PT DO B;14397;1
2002;DEPUTADO FEDERAL;PT DO B;14419;2
2002;DEPUTADO FEDERAL;PT DO B;14478;4
2002;DEPUTADO FEDERAL;PT DO B;14559;2
2002;DEPUTADO FEDERAL;PT DO B;14630;1
2002;DEPUTADO FEDERAL;PT DO B;14680;1
2002;DEPUTADO FEDERAL;PT DO B;14699;8
2002;DEPUTADO FEDERAL;PT DO B;14893;1
2002;DEPUTADO FEDERAL;PT DO B;14931;3
2002;DEPUTADO FEDERAL;PT DO B;14958;5
2002;DEPUTADO FEDERAL;PT DO B;14974;7
2002;DEPUTADO FEDERAL;PT DO B;15016;2
2002;DEPUTADO FEDERAL;PT DO B;15032;6
2002;DEPUTADO FEDERAL;PT DO B;15059;5
2002;DEPUTADO FEDERAL;PT DO B;15113;3
2002;DEPUTADO FEDERAL;PT DO B;15156;2
2002;DEPUTADO FEDERAL;PT DO B;15270;3
2002;DEPUTADO FEDERAL;PT DO B;15296;3
2002;DEPUTADO FEDERAL;PT DO B;15350;1
2002;DEPUTADO FEDERAL;PT DO B;15474;3
2002;DEPUTADO FEDERAL;PT DO B;15598;27
2002;DEPUTADO FEDERAL;PT DO B;15652;1
2002;DEPUTADO FEDERAL;PT DO B;15717;8
2002;DEPUTADO FEDERAL;PT DO B;15857;17
2002;DEPUTADO FEDERAL;PT DO B;15890;1
2002;DEPUTADO FEDERAL;PT DO B;15954;3
2002;DEPUTADO FEDERAL;PT DO B;15997;1
2002;DEPUTADO FEDERAL;PT DO B;98531;2
2002;DEPUTADO FEDERAL;PT DO B;98558;1
2002;DEPUTADO FEDERAL;PTB;13005;4
2002;DEPUTADO FEDERAL;PTB;13013;1
2002;DEPUTADO FEDERAL;PTB;13021;5
2002;DEPUTADO FEDERAL;PTB;13030;3
2002;DEPUTADO FEDERAL;PTB;13048;2
2002;DEPUTADO FEDERAL;PTB;13056;12
2002;DEPUTADO FEDERAL;PTB;13064;2
2002;DEPUTADO FEDERAL;PTB;13072;6
2002;DEPUTADO FEDERAL;PTB;13080;3
2002;DEPUTADO FEDERAL;PTB;13099;3
2002;DEPUTADO FEDERAL;PTB;13110;1
2002;DEPUTADO FEDERAL;PTB;13129;9
2002;DEPUTADO FEDERAL;PTB;13137;2
2002;DEPUTADO FEDERAL;PTB;13145;12
2002;DEPUTADO FEDERAL;PTB;13153;8
